network code,station code,name,telemetry,latitude,longitude,elevation
II,XBFO,"Black Forest Observatory, Schiltach, Germany",Telemetry Status 0,48.3301,8.3296,638
II,XPFO,"Pinon Flat, California, USA",Telemetry Status 0,33.6107,-116.4555,1280
IU,ADK,"Adak, Aleutian Islands, Alaska",Telemetry Status 0,51.8823,-176.6842,130
IU,AFI,"Afiamalu, Samoa",Telemetry Status 2,-13.90853,-171.78265,706
IU,ANMO,"Albuquerque, New Mexico, USA",Telemetry Status 2,34.94591,-106.4572,1820
IU,ANTO,"Ankara, Turkey",Telemetry Status 2,39.868,32.7934,1090
IU,BBSR,"Bermuda Institute of Ocean Sciences, St George's Bermuda",Telemetry Status 2,32.371299,-64.696299,30
IU,BILL,"Bilibino, Russia",Telemetry Status 2,68.0653,166.4531,320
IU,CASY,"Casey, Antarctica",Telemetry Status 2,-66.2792,110.5354,10
IU,CCM,"Cathedral Cave, Missouri, USA",Telemetry Status 2,38.0557,-91.2446,222
IU,CHTO,"Chiang Mai, Thailand",Telemetry Status 2,18.8141,98.9443,420
IU,COLA,"College Outpost, Alaska, USA",Telemetry Status 0,64.873599,-147.8616,200
IU,COR,"Corvallis, Oregon, USA",Telemetry Status 2,44.5855,-123.3046,110
IU,CTAO,"Charters Towers, Australia",Telemetry Status 2,-20.08765,146.24998,367
IU,DAV,"Davao, Philippines",Telemetry Status 2,7.0697,125.5791,151
IU,DWPF,"Disney Wilderness Preserve, Florida, USA",Telemetry Status 2,28.1103,-81.4327,30
IU,FUNA,"Funafuti, Tuvalu",Telemetry Status 2,-8.5259,179.1966,20
IU,FURI,"Mt. Furi, Ethiopia",Telemetry Status 2,8.8952,38.6798,2570
IU,GNI,"Garni, Armenia",Telemetry Status 2,40.148,44.741,1609
IU,GRFO,"Grafenberg, Germany",Telemetry Status 2,49.6909,11.2203,384
IU,GUMO,"Guam, Mariana Islands",Telemetry Status 2,13.5893,144.8684,170
IU,HKT,Hockley1 Texas,Telemetry Status 2,29.96478,-95.83812,69
IU,HNR,"Honiara, Solomon Islands",Telemetry Status 2,-9.4387,159.9475,100
IU,HRV,"Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA",Telemetry Status 2,42.5064,-71.5583,200
IU,INCN,"Inchon, Republic of Korea",Telemetry Status 2,37.47768,126.62436,55
IU,JOHN,"Johnston Island, USA",Telemetry Status 0,16.7329,-169.5292,2
IU,KBS,"Ny-Alesund, Spitzbergen, Norway",Telemetry Status 2,78.9154,11.9385,90
IU,KEV,"Kevo, Finland",Telemetry Status 2,69.7565,27.0035,100
IU,KIEV,"Kiev, Ukraine",Telemetry Status 2,50.7012,29.2242,180
IU,KIP,"Kipapa, Hawaii, USA",Telemetry Status 2,21.42,-158.0112,110
IU,KMBO,"Kilima Mbogo, Kenya",Telemetry Status 2,-1.1271,37.2525,1950
IU,KNTN,"Kanton, Kiritibati",Telemetry Status 0,-2.7744,-171.7186,20
IU,KONO,"Kongsberg, Norway",Telemetry Status 2,59.6521,9.5946,558
IU,LCO,"Las Campanas Astronomical Observatory, Chile",Telemetry Status 2,-29.011,-70.7005,2274
IU,LSZ,"Lusaka, Zambia",Telemetry Status 2,-15.2779,28.1882,1200
IU,MA2,"Magadan, Russia",Telemetry Status 2,59.5756,150.77,337
IU,MACI,"Morro de la Arena, Canary Islands",Telemetry Status 1,28.2502,-16.508199,1674
IU,MAJO,"Matsushiro, Japan",Telemetry Status 2,36.54567,138.20406,405
IU,MAKZ,"Makanchi, Kazakhstan",Telemetry Status 2,46.808,81.977,600
IU,MBWA,"Marble Bar, Western Australia",Telemetry Status 2,-21.159,119.7313,190
IU,MIDW,"Midway Island, USA",Telemetry Status 2,28.2156,-177.3698,20
IU,NWAO,"Narrogin, Australia",Telemetry Status 2,-32.9277,117.239,380
IU,OTAV,"Otavalo, Ecuador",Telemetry Status 2,0.2376,-78.4508,3510
IU,PAB,"San Pablo, Spain",Telemetry Status 2,39.5446,-4.3499,950
IU,PAYG,"Puerto Ayora, Galapagos Islands",Telemetry Status 2,-0.6742,-90.2861,270
IU,PET,"Petropavlovsk, Russia",Telemetry Status 2,53.0233,158.6499,110
IU,PMG,"Port Moresby, New Guinea",Telemetry Status 2,-9.4047,147.1597,90
IU,PMSA,"Palmer Station, Antarctica",Telemetry Status 2,-64.7744,-64.0489,40
IU,POHA,"Pohakuloa, Hawaii, USA",Telemetry Status 2,19.7573,-155.5326,1990
IU,PTCN,"Pitcairn Island, South Pacific",Telemetry Status 0,-25.0713,-130.0953,220
IU,QSPA,South Pole Remote Earth Science Observatory (Quiet Zone),Telemetry Status 1,-89.9289,144.4382,2850
IU,RAO,"Raoul, Kermadec Islands",Telemetry Status 0,-29.245,-177.929,60
IU,RAR,"Rarotonga, Cook Islands",Telemetry Status 2,-21.2125,-159.7733,28
IU,RCBR,"Riachuelo, Brazil",Telemetry Status 2,-5.8274,-35.9014,400
IU,RSSD,"Black Hills, South Dakota, USA",Telemetry Status 2,44.1212,-104.0359,2090
IU,SAML,"Samuel, Brazil",Telemetry Status 2,-8.9489,-63.1831,120
IU,SBA,"Scott Base, Antarctica",Telemetry Status 2,-77.8492,166.7572,50
IU,SDV,"Santo Domingo, Venezuela",Telemetry Status 2,8.8839,-70.634,1620
IU,SFJD,"Sondre Stromfjord, Greenland",Telemetry Status 2,66.9961,-50.62076,330
IU,SJG,"San Juan, Puerto Rico",Telemetry Status 2,18.1091,-66.15,420
IU,SLBS,"Sierra la Laguna Baja California Sur, Mexico",Telemetry Status 0,23.6858,-109.9443,825
IU,SNZO,"South Karori, New Zealand",Telemetry Status 2,-41.3087,174.7043,120
IU,SSPA,"Standing Stone, Pennsylvania",Telemetry Status 2,40.6358,-77.8876,270
IU,TARA,"Tarawa Island, Republic of Kiribati",Telemetry Status 2,1.3549,172.9229,20
IU,TATO,"Taipei, Taiwan",Telemetry Status 2,24.9735,121.4971,160
IU,TEIG,"Tepich, Yucatan, Mexico",Telemetry Status 2,20.2263,-88.2763,40
IU,TIXI,"Tiksi, Russia",Telemetry Status 2,71.6341,128.8667,40
IU,TRIS,Tristan da Cunha,Telemetry Status 2,-37.0681,-12.3152,60
IU,TRQA,"Tornquist, Argentina",Telemetry Status 2,-38.0568,-61.9787,540
IU,TSUM,"Tsumeb, Namibia",Telemetry Status 2,-19.2022,17.5838,1260
IU,TUC,"Tucson, Arizona",Telemetry Status 2,32.3098,-110.7847,910
IU,ULN,"Ulaanbaatar, Mongolia",Telemetry Status 2,47.8651,107.0532,1610
IU,WAKE,Wake Island,Telemetry Status 0,19.2834,166.652,20
IU,WCI,"Wyandotte Cave, Indiana, USA",Telemetry Status 2,38.2289,-86.2939,210
IU,WVT,"Waverly, Tennessee, USA",Telemetry Status 2,36.1297,-87.83,170
IU,XMAS,"Kiritimati Island, Republic of Kiribati",Telemetry Status 2,2.0448,-157.4457,20
IU,YAK,"Yakutsk, Russia",Telemetry Status 2,62.031,129.6805,110
IU,YSS,"Yuzhno Sakhalinsk, Russia",Telemetry Status 2,46.9587,142.7604,150
